ID,Authors,Year,Year_numeric,Decade,Title,Search engine,Classification,Problem_statement,Research_gap,Contribution,Method,Method_clean,Method_category,Method_detail,Study region,Study_region_clean,Study_region_continent,Numerical water value,Has_water_value,DOI,Extraction_source,Notes
1-026,"Erfani, M.; Maskey, M. L.; Dogan, M. S.; Medellin-Azuara, J.; Goharian, E.",2024,2024,2020–2025,Hydroeconomic Optimization and Reoperation of Folsom Reservoir for Flood-Managed Aquifer Recharge Implementation,ASCE Library,A,"Climate extremes and droughts in California require efficient water storage strategies, yet quantifying the economic benefits of groundwater recharge within complex surface storage systems remains challenging.",Methodology for integrating surface reservoir reoperation with managed aquifer recharge lacked a hybrid simulation-optimization model driven by surrogate economic evaluation modules derived from large-scale hydroeconomic systems. (inferred).,"A hybrid simulation-optimization model uses surrogate economic evaluation modules to optimize groundwater recharge and surface storage benefits, improving total water storage during varying hydrologic conditions.",Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,,False,10.1061/JWRMD5.WRENG-6384,Methodology,
1-027,"Helseth, A.; Mo, B.; Hågenvik, H. O.; Schäffer, L. E.",2022,2022,2020–2025,Hydropower Scheduling with State-Dependent Discharge Constraints: An SDDP Approach,ASCE Library,B,"Environmental regulations requiring state-dependent maximum discharge introduce nonconvexities into hydropower scheduling, which are difficult to represent in standard stochastic dual dynamic programming models.","Current methodologies lack computationally efficient ways to approximate nonconvex environmental constraints without compromising computational time through stochastic dynamic programming (then ""SDP"") versions. (inferred).",A combination of constraint relaxation and time-dependent auxiliary reservoir bounds enables SDDP to handle discharge constraints without compromising computational efficiency or stability.,SDDP,SDDP,Optimization,SDDP,,Not specified,Not specified,Yes,True,10.1061/(ASCE)WR.1943-5452.0001609,"Abstract, Intro, Conclusions",
1-029,"Zhao, T.; Zhao, J.; Yang, D.",2014,2014,2010–2014,Improved Dynamic Programming for Hydropower Reservoir Operation,ASCE Library,G,Complex mathematical properties like complementarity in multi-period hydropower generation lead to high computational costs when solving optimization problems using traditional dynamic programming methods.,"Previous research on reservoir systems failed to investigate the combined effects of concavity, complementarity, and monotonicity specifically for multi-period hydropower reservoir optimization problems.",A successive improved dynamic programming (SIDP) algorithm applies concave approximations to reduce computational complexity from quadratic to linear for long-term hydropower scheduling.,Other,Other,Other,Other,,Not specified,Not specified,,False,10.1061/(ASCE)WR.1943-5452.0000343,"Abstract, Intro, Mathematical Properties",
1-030,"Ward, F. A.; Booker, J. F.; Michelsen, A. M.",2006,2006,2005–2009,"Integrated Economic, Hydrologic, and Institutional Analysis of Policy Responses to Mitigate Drought Impacts in Rio Grande Basin",ASCE Library,H,Growing competition for water supplies in dry regions like the Rio Grande Basin increases the economic and environmental impacts of severe and sustained drought events.,Little comprehensive analysis exists regarding the costs of drought and how market-based water transfers can be applied to design effective policy responses within existing institutions.,A comprehensive basinwide nonlinear programming model integrates hydrology and economics to evaluate the effectiveness of water trading across political boundaries during sustained drought periods.,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,Yes,True,10.1061/(ASCE)0733-9496(2006)132:6(488),"Background, Intro",
1-031,"Wang, L.; Fang, L.; Hipel, K. W.",2008,2008,2005–2009,Integrated Hydrologic-Economic Modeling of Coalitions of Stakeholders for Water Allocation in the South Saskatchewan River Basin,ASCE Library,E,"Water allocation models often ignore quality, stage constraints, and stakeholder coalition formations when pursuing overall net benefits for river basin management.",Existing integrated hydrologic-economic models lack structures to analyze user coalition formation and the specific effects of ownership and water rights.,"A holistic modeling framework integrates water quantity, quality, and cooperative game theory to analyze coalition formation and initial water right allocations.",Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,Yes,True,10.1061/(ASCE)1084-0699(2008)13:9(781),"Intro, Sec 3",
1-032,"Davis, M. D.",2007,2007,2005–2009,Integrated Water Resource Management and Water Sharing,ASCE Library,R,"Sustainable water development requires redressing historical imbalances among economic, environmental, and social components while managing resources for marginalized groups and ecosystems.",Historical water management approaches often fail to integrate natural flow regimes or resolve conflicts between user-based focus and broader river basin efficiencies (inferred).,A review of IWRM frameworks evaluates the integration of environmental flows and public participation as essential elements for achieving social and ecological sustainability.,Review,Other,Review/Theoretical,Review,,Not specified,Not specified,,False,10.1061/(ASCE)0733-9496(2007)133:5(427),"Intro, Table 1",
1-034,"Draper, S. E.",2008,2008,2005–2009,Limits to Water Privatization,ASCE Library,F,Water scarcity threatens economic well-being and quality of life while public sector allocation inefficiencies are frequently blamed for mismanagement.,There is a lack of critical analysis regarding which core water management functions must remain public versus those that can be privatized. (inferred).,A theoretical framework defines essential public oversight functions required to protect third-party rights and social values during the water privatization process.,Discussion,Other,Review/Theoretical,Discussion,,Not specified,Not specified,,False,10.1061/(ASCE)0733-9496(2008)134:6(493),"Abstract, Intro",
1-035,"Shen, J.; Chen, G.; Cheng, C.; Wei, W.; Zhang, X.; Zhang, J.",2021,2021,2020–2025,Modeling of Generation Scheduling for Multiple Provincial Power Grids Using Peak-Shaving Indexes,ASCE Library,R,"Real-world industrial power production depends on optimizing generation schedules to follow changes in load demands, which is highly sensitive to the modeling of peak-shaving requirements.",Conventional optimization models mainly aim to smooth load profiles without quantitatively describing the specific dispatchable capacity requirements during both high and low load hours.,A mixed-integer nonlinear programming model introduces peak and off-peak capacity indexes to quantitatively optimize hydropower generation schedules for serving multiple provincial power grids.,Other,Other,Other,Other,,Not specified,Not specified,,False,10.1061/(ASCE)WR.1943-5452.0001424,"Intro, MINLP Model, Results",
1-036,"Debnath, D.; Boyer, T. A.; Stoecker, A. L.; Sanders, L. D.",2015,2015,2015–2019,Nonlinear Reservoir Optimization Model with Stochastic Inflows: Case Study of Lake Tenkiller,ASCE Library,B,Reservoir managers must balance competing demands between commercial hydropower generation and nonmarket recreational benefits while accounting for stochastic lake water inflow variability.,"Traditional stochastic models frequently overlook nonmarket recreational benefits, leading to water allocation policies that prioritize hydropower over significant regional economic visit values.",A stochastic optimization model integrating nonmarket visit values shows that maintaining higher lake levels can maximize total economic benefits across sectors.,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,Yes,True,10.1061/(ASCE)WR.1943-5452.0000409,"Intro, Sec 2, Results",
1-037,"Cutlac, I.; Horbulyk, T. M.",2011,2011,2010–2014,Optimal Water Allocation under Short-Run Water Scarcity in the South Saskatchewan River Basin,ASCE Library,B,"Water managers face challenges allocating flows among urban, agricultural, and hydropower users as land use changes and climate variability alter basin-wide hydrology.","No models existed for the South Saskatchewan River Basin that captured economic water value and hydrology within a comprehensive, replicable modeling platform.","A computational model using the Aquarius platform optimizes annual water value by reflecting economic welfare across irrigation, municipal, and hydropower sectors.",Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,Yes,True,10.1061/(ASCE)WR.1943-5452.0000092,"Intro, Calibration",
1-038,"Lee, Y.; Yoon, T.; Shah, F. A.",2013,2013,2010–2014,Optimal Watershed Management for Reservoir Sustainability: Economic Appraisal,ASCE Library,R,"Reservoir sedimentation reduces societal benefits globally, and transboundary rivers create negative externalities where upstream agricultural soil erosion impacts downstream reservoir storage capacity.",Previous studies lacked an integrated economic model that characterizes both upstream soil conservation and downstream sediment removal under cooperative and noncooperative management perspectives.,A theoretical model using optimal control theory integrates upstream agricultural benefits and downstream reservoir capacity to determine the optimal terminal time for sustainable reservoir management.,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,,False,10.1061/(ASCE)WR.1943-5452.0000232,"Intro, Model and Methodology",
1-039,"Wang, J.; Zhang, Y.",2012,2012,2010–2014,Short-Term Optimal Operation of Hydropower Reservoirs with Unit Commitment and Navigation,ASCE Library,B,"Short-term hydropower operation is complicated by nonlinear production functions, discrete unit commitment statuses, and flow ramping requirements for safe river navigation.",Previous models often failed to integrate unit commitment with Muskingum channel routing while maintaining low execution times for multiple identical turbine units.,An integrated methodology using Lagrange multipliers and united generators achieves near-optimal solutions while reducing the dimensionality of the hydro subproblem.,NLP,Other,Optimization,NLP,,Not specified,Not specified,,False,10.1061/(ASCE)WR.1943-5452.0000142,"Abstract, Intro, Conclusions",
1-040,"Newlin, B. D.; Jenkins, M. W.; Lund, J. R.; Howitt, R. E.; Corps, P.; Republic, D.",2002,2002,2000–2004,Southern California Water Markets: Potential and Limitations,ASCE Library,A,"Regional water scarcity in southern California necessitates market-based transfers, but the economic impacts of specific allocation policies and infrastructure constraints on these transfers are poorly understood.",Research lacked a regional application of large-scale hydroeconomic optimization models to quantify the shadow values and marginal benefits of specific water marketing strategies in southern California. (inferred).,A regional application of the CALVIN model utilizes shadow values and marginal value multipliers to analyze economic benefits and storage constraints for southern California water marketing.,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,Yes,True,10.1061/(ASCE)0733-9496(2002)128:1(21),"Model Alternatives, Conclusions",
1-041,"Bekchanov, M.; Sood, A.; Pinto, A.; Jeuland, M.",2017,2017,2015–2019,Systematic Review of Water-Economy Modeling Applications,ASCE Library,A,Increasing global water scarcity due to population growth and urbanization requires a better understanding of the diverse modeling approaches used to evaluate economic trade-offs in basin management.,"The scientific community lacked a comprehensive systematic review that synthesizes the range, distribution, and research gaps of basin-scale and economywide water-economic models across different sectors.","This review provides a new synthesis of 160 hydroeconomic model applications, identifying critical gaps in the water-energy-food nexus and the need for multidisciplinary nonmarket valuation.",Review,Other,Review/Theoretical,Review,,Not specified,Not specified,,False,10.1061/(ASCE)WR.1943-5452.0000793,"Intro, Research Challenges",
1-042,"Guan, Z.; Shawwash, Z.; Abdalla, A.",2018,2018,2015–2019,Using SDDP to Develop Water-Value Functions for a Multireservoir System with International Treaties,ASCE Library,A,"Multireservoir hydroelectric systems like BC Hydro face high complexity in scheduling when considering stochastic seasonal inflows, load requirements, and international treaty storage obligations simultaneously.",Operational planning lacked a robust algorithm to generate monthly water-value functions that globally optimize storage accounts while accounting for seasonal volume forecasts in a multistate setting.,A novel algorithm using SDDP generates monthly water-value functions by combining Benders cuts to approximate future value for operable storage ranges in complex multireservoir systems.,SDDP,SDDP,Optimization,SDDP,,Not specified,Not specified,,False,10.1061/(ASCE)WR.1943-5452.0000858,"Intro, Conclusions",
1-043,"Zhu, M.; Wu, F.; Shen, J.; Bi, F.",2021,2021,2020–2025,Water Rights Trading Application to Water-Rich Regions in Southern China,ASCE Library,A,,,,Input-Output,Other,Economic-Engineering,Input-Output,,Not specified,Not specified,Yes,True,10.1061/(ASCE)WR.1943-5452.0001435,,
1-044,"Shawwash, Z. K.; Siu, T. K.; Russell, S. O.",1999,1999,Pre-2000,A Decision Support System for Short Term Hydropower Scheduling and Reservoir Management in a Competitive Market,ASCE Library,A,Hydroelectric operators require real-time advice to make optimal trade-offs between current revenues from spot energy transactions and the potential long-term value of water stored in reservoirs.,Existing short-term tools lacked an integrated linear programming framework capable of meeting domestic firm loads while maximizing export revenues based on marginal water values. (inferred).,A short-term optimization model using linear programming and CPLEX provides accurate advice for operating hydroelectric facilities up to one week ahead in a competitive market.,LP,LP,Optimization,LP,,Not specified,Not specified,,False,10.1061/40430(1999)248,"Optimization Model, Conclusions",
1-045,"Teasley, R.; Raffensperger, J.; Milke, M.",2010,2010,2010–2014,A Smart Market for Ground and Surface Water with Hydropower Generation,ASCE Library,C,Groundwater depletion and environmental damage require efficient allocation mechanisms to protect sensitive areas from over-pumping and mismanagement of combined groundwater and surface water resources.,Existing water management tools fail to easily reallocate water between users due to high transaction costs and complex interactions between groundwater and surface water.,A periodic auction smart market uses an optimization model and simulation to efficiently allocate integrated groundwater and surface water based on user bids.,LP,LP,Optimization,LP,,Not specified,Not specified,,False,10.1061/41114(371)112,"Abstract, Intro",
1-046,"Enright, C.; Lund, J. R.",1991,1991,Pre-2000,Alternative Water‐District Organization: Screening‐Level Analysis,ASCE Library,R,Policy makers need to evaluate alternative regional water-resource policies and intradistrict transfers without requiring excessively complex models or unavailable detailed hydrologic data.,Existing interregional trade models often use nonlinear demand functions that distort results or fail to examine inflow variability across different water-district organizational scenarios.,A screening-level spatial equilibrium model employs linear demand functions and lifeline constraints to evaluate eight water-apportionment scenarios under varying hydrologic regimes.,,Not available,Not available,Not available,"California, US",United States,North America,,False,10.1061/(ASCE)0733-9496(1991)117:1(86),"Screening-Level Analysis, results",
1-047,"Guégan, M.; Madani, K.; Uvo, C. B.",2011,2011,2010–2014,Climate Warming Effects on Hydropower Demand and Pricing in California,ASCE Library,C,"Climate warming impacts energy demand and pricing, necessitating accurate long-term price forecasting tools for high-elevation hydropower systems to manage future operational and financial uncertainties.",Traditional price representation models using revenue curves often ignore the effects of climate warming on electricity demand and the resulting volatility in regional market prices. (inferred).,A feed-forward artificial neural network model trained with global-search algorithms forecasts energy prices while accounting for temperature-driven load variations and state-wide seasonal patterns.,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,,False,10.1061/41173(414)135,"ANN model, DATA",
1-048,"Lei, X.; Zhao, J.; Yang, Y. E.; Wang, Z.",2019,2019,2015–2019,Comparing the Economic and Environmental Effects of Different Water Management Schemes Using a Coupled Agent–Hydrologic Model,ASCE Library,H,Policy makers in arid basins lack transparent tools to model physical and economic outcomes of interacting human activities and hydrologic processes under different management schemes.,Existing modeling approaches typically emphasize either purely natural-science hydrologic processes or social-science institutional analysis without adequately coupling human-water interactions in an integrated framework.,The CAHM model integrates multiagent systems with the MODFLOW groundwater model to capture complex human-nature interactions for evaluating various water management institution outcomes.,,Not available,Not available,Not available,China,China,Asia/Oceania,,False,10.1061/(ASCE)WR.1943-5452.0001074,"Intro, Conclusions",
1-049,"Chaube, U. C.",2017,2017,2015–2019,Sustainable Water Resources Management,ASCE Library,R,Large-scale water resource systems are dynamic and stochastic with complex interlinkages that make finding an absolute optimal output for the entire basin a mathematical fallacy.,Traditional planning authorities lack scientific tools that bridge the communication gap between system analysts and decision-makers while generating feasible sub-optimal solutions to regional conflicts.,A heuristic decomposition-coordination approach provides a scientific basis for resolving regional conflicts by modeling tributary subsystems independently before combining them for basinwide trade-off studies.,Review,Other,Review/Theoretical,Review,,Not specified,Not specified,,False,10.1061/9780784414767,"Results and Discussion, Conclusion",
1-050,"Pulido-Velazquez, M.; Alvarez-Mendiola, E.; Andreu, J.",2012,2012,2010–2014,Design of Efficient Water Pricing Policies Integrating Basinwide Resource Opportunity Costs,ASCE Library,R,Increasing competition for scarce water resources necessitates a proper assessment of the marginal economic value of natural water considering intersectoral competition and system operating costs.,Integrated hydro-economic models often overlook the disturbing effect of perfect foresight in optimization or fail to incorporate priority-based institutional frameworks into shadow value assessments.,A method for assessing marginal resource opportunity cost uses priority-based simulation to provide a realistic upper bound for economic efficiency under realistic hydrology forecasts.,,Not available,Not available,Not available,Sythetic case study,Synthetic/Theoretical,Not applicable,,False,10.1061/(ASCE)WR.1943-5452.0000262,"MROC Assessment, Application",
1-051,"Russell, W.; Olsen, N. A.; Gray, L.; Adams, F.; Down, M.; Grunsky, C.; Harding, S.; Dare, H.; Hedke, C. R.; Kirby Fox, C.; Rule, R. E.; Bacon, G. M.; Smith, G.; Tiffany, R.; Weeks, D.; Widtsoe, J. A.; Newell, F.; Lewis, A.; Jacobs, J.; Cronholm, F.; Meeker, R.; Debler, E.; Field, J. E.; Committee, N. R. P.",1931,1931,Pre-2000,Discussion of “Fuller On A National Reclamation Policy”,ASCE Library,R,Many irrigation districts in the United States and South Africa historically faced financial failure due to enthusiasm blind to economic considerations and high interest rates.,Early reclamation efforts lacked supporting data and pre-project economic evaluations to justify federal activities or ensure the financial profitability of government-subsidized irrigation schemes (inferred).,A comparative report provides data on crop values and financial losses of irrigation projects to establish a prefatory review of past reclamation activities and problems.,,Not available,Not available,Not available,US,United States,North America,,False,10.1061/TACEAT.0004313,Rule on a National Reclamation Policy,
1-052,"Karamouz, M.; Barkhordari, H.; Ebrahimi, E.",2019,2019,2015–2019,Economic Driven Reallocation of Water for Supplying Environmental Demand,ASCE Library,H,"Increasing population growth intensifies competition for water across domestic, agricultural, and industrial sectors, often sacrificing the minimum environmental demand necessary for sustainable ecotourism.",Existing simulation-based planning approaches lack integrated methods that simultaneously evaluate the physical hydrological impacts and variable economic values of water reallocation for ecological benefits.,A planning framework reallocates water supply based on economic criteria to maintain minimum environmental demands while supporting social and employment benefits through ecotourism.,Input-Output,Other,Economic-Engineering,Input-Output,"Zayandeh-Rud River, Iran",Iran (Islamic Republic of),Asia/Oceania,,False,10.1061/9780784482339.021,"Abstract, Intro",
1-053,"Pulido-Velázquez, M.; Andreu, J.; Sahuquillo, A.",2006,2006,2005–2009,Economic Optimization of Conjunctive Use of Surface Water and Groundwater at the Basin Scale,ASCE Library,E,Traditional water resource models often lack realistic representations of hydrologic components when evaluating the economic impact of water scarcity.,Existing holistic models do not efficiently integrate distributed-parameter groundwater simulation and dynamic stream-aquifer interaction for long-term optimization.,A modeling framework integrates an eigenvalue-based groundwater simulation within a hydro-economic optimization model to estimate marginal water values and opportunity costs.,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,"Adra River Basin, Spain",Spain,Europe,Yes,True,10.1061/(ASCE)0733-9496(2006)132:6(454),"Intro, Sec 2",
1-054,"Jenkins, M. W.; Draper, A. A.; Marques, G. F.; Ritzema, R. S.; Tanaka, S. K.; Kirby, K. W.; Fidell, M. S.; Msangi, S.; Howitt, R. E.; Lund, J. R.",2001,2001,2000–2004,Economic Valuation of California's Water Resources and Infrastructure,ASCE Library,A,Fragmented water management in California hinders the maximization of statewide economic returns and the identification of efficient water allocation policies among urban and agricultural sectors.,Planning literature lacked a unified economically-driven optimization model that integrates statewide surface and groundwater hydrology with urban and agricultural water values using network flow solvers. (inferred).,"The CALVIN model utilizes HEC-PRM to optimize system operations over hydrologic sequences, maximizing net economic returns based on the willingness-to-pay metric for all water users.",Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,Yes,True,10.1061/40569(2001)327,Modeling Approach,
1-055,"Menezes, F. M.; Capodeferro, M. W.; Smiderle, J. J.; Guimarães, P. E.",2022,2022,2020–2025,Estimating Efficient Water Prices in the Sao Marcos River Basin: A Residual Imputation Approach,ASCE Library,E,River basins face stress from climate change and increased demand leading to conflicts between hydroelectricity generation and upstream agricultural interests.,Decision-makers often establish water prices without awareness of actual resource costs or robust economic methodologies for efficient reallocation.,An application of residual imputation and net rents methods estimates constrained efficient water prices for the Sao Marcos River Basin.,,Not available,Not available,Not available,Brazil,Brazil,South America,Yes,True,10.1061/(ASCE)WR.1943-5452.0001538,"Intro, Sec 2",
1-056,"Marques, G. F.; Maciel, A. L. A.; Almeida, R. R.",2010,2010,2010–2014,Hydro Economic Modeling to Support Water Resources Management and Irrigated Bio Fuel Crops Production,ASCE Library,G,"Rising demand for biofuels requires integrated planning to assess the impact of irrigated agricultural production on water availability, economic values, and competing infrastructure demands.",Current watershed models do not sufficiently optimize water allocation among competing economic demands while specifically evaluating the scarcity costs associated with meeting biofuel production goals.,A network-based economically driven optimization model uses penalty functions and surface reservoir operation to minimize water scarcity costs across multiple urban and agricultural regions.,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,,False,10.1061/41143(394)18,"Intro, Methodology",
1-057,"Raby, M.; Ríos, S.; Jerardino, S.; Raineri, R.",2009,2009,2005–2009,Integrating Large Wind Farms into Transmission Planning of Hydrothermal System,ASCE Library,A,The variability of wind energy and the intertemporal coupling of reservoir storage decisions make expansion planning for transmission lines in hydrothermal systems exceptionally complex and stochastic.,Traditional transmission planning lacked a modeling framework that effectively links wind resource modeling with hydrothermal coordination using a recursion of stochastic dynamic programming. (inferred).,A methodology incorporates wind farms into a hydrothermal coordination model using SDP to determine system bottlenecks and evaluate diverse expansion plans under hydrological uncertainty.,SDDP,SDDP,Optimization,SDDP,Chile,Chile,South America,,False,10.1061/(ASCE)0733-9402(2009)135:3(89),"Intro, Framework",
1-058,"Torell, G. L.; Lee, K. D.; Garnica, L. A.; Mayer, A. S.; Ward, F. A.",2022,2022,2020–2025,"Least-Cost Provision of Ecosystem Services from Water: When, Where, and How Much?",ASCE Library,E,Efficiently allocating surface water across potential uses while considering long-term trade-offs of purchasing water from least-cost users remains poorly understood.,Little is known about the optimal economic response to policies that vary the timing of environmental pulse flows in river basins.,An optimization model selects least-cost water reallocation strategies and calculates marginal costs for providing environmental pulse flows in the Rio Grande.,,Not available,Not available,Not available,US,United States,North America,Yes,True,10.1061/(ASCE)WR.1943-5452.0001511,"Intro, Sec 2",
